left_elbow_angle,right_elbow_angle,left_wrist_angle,right_wrist_angle,left_shoulder_angle,right_shoulder_angle,hip_angle,waist_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle
162.9621716807052,152.19253320344544,111.90112096050217,102.99228162469286,49.02300407022297,49.28668170928299,176.09697719036032,7.9781580770763965,176.19974870924662,169.48605144464153,161.2554902053152,163.37147550173015
161.97630668696667,151.98190805141883,111.09521305791728,104.01663293154441,48.8205482665581,48.66607313183216,175.756635808806,7.972884363553457,176.46482881503417,170.11354908117238,159.88327710550305,166.28001865818712
160.24146932082775,151.1069020584727,111.06746073685008,104.99385344149718,48.664677524579865,48.28619878957993,174.8594489115145,8.168736540093288,176.6635429738578,170.3310091984024,159.4805544063594,168.06127676154216
160.02871550226362,151.3151676842901,110.96777382571088,104.90538823437018,48.69464738014279,48.34736918440776,174.17470722925847,8.111039698927138,176.79969835582392,170.85049044475224,160.6372304819999,168.17228965263922
159.9656269325974,151.2875811769737,111.23079953353951,105.11520528026541,48.79038660416494,48.48076067534854,173.86615595897646,8.133159944306145,176.77175716414877,171.0364906451941,160.10068421588198,167.09296211512694
159.89195431206684,151.18600286774617,111.72912034998994,106.01993179986185,48.92887320907648,48.493490695911696,173.50380279440748,8.087308494198172,176.63396041533505,170.50718715315804,160.1687584476151,166.95391284095598
159.7942220789197,151.43720178527084,111.6382264383548,105.91683245948407,49.13802862933424,48.585989592169454,173.11282625712028,8.052592034030674,176.2790748437337,170.26549195835202,160.21037996971307,166.7060751775254
159.24904819645866,150.05823198492237,112.05956052010555,107.14841671298143,49.36011543832318,48.242674260402616,172.55733808842828,8.204551555484162,176.2318606660863,170.0824484132279,160.7765904123829,166.43563680932218
158.66448467916436,149.19358096232776,113.00353697814525,107.56022163284857,49.47612843982147,47.76407629685112,172.24533214997035,8.12594927519182,176.18308140248328,170.09342467685786,160.76569059926842,166.11747966571747
158.16005455142033,148.83559000453457,115.29444446213769,107.73827123796418,49.47904383598607,47.60621294454797,171.89426217866858,7.978292495026033,176.24803148893005,169.92673446521454,160.7488225993802,166.88415716604567
158.02819360327712,148.75408049971216,116.47430768595467,108.43853107573513,49.73889096964761,47.938959452417606,170.9930230700663,8.047078830825766,175.73748914050128,169.50136919644257,161.4412591188381,166.78662346030936
158.16695023814816,149.10626659280263,117.91331284474856,109.24166134169047,50.49368566330544,48.43043810770283,170.49798258057263,7.923308502798693,175.5677434036235,169.44001268713623,161.3924806710612,166.67807381718242
158.22149151611706,149.25938538232916,118.9959438339346,108.03461939623602,51.05069350516878,48.57912274522577,170.06468861011658,7.7446601064870295,175.30303499684769,169.05083848451628,161.12295150026517,166.72005778354816
158.2842570979213,149.86640004104294,119.69089310237918,107.79519273509176,51.669426288407166,49.45631158018232,169.5595978991223,7.7389234057527485,175.1174317548539,168.93487567178167,160.90918210934197,165.3083656435176
158.47158339752903,150.2786031131478,121.0209411418813,106.55775298452865,52.18734554086468,50.12164640352488,168.5177905542947,7.85352232333096,174.44103022447726,168.12175668252965,161.0793784497533,164.45066660240445
158.8904205452049,150.8316340324113,121.21354830116171,105.88680163375302,53.1049883218725,50.8108246406675,167.252831778269,7.6301096972719735,173.32929947687052,167.1766031667809,161.11306768353836,164.3206572941566
159.92163107181148,151.87022010517202,121.10095214492549,104.54959800364593,54.528942210016936,51.70638899850833,165.76081170104175,7.493467377001197,171.8223260998803,165.56421312546965,161.05884927278242,164.66191740640363
